Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId,Username__c
0012100000lErCvAAK,,,Reema Karr,Customer,,4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",4766 E Whitmore Ave,Ceres,CA,95307,USA,,,,"{""city"":""Ceres"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95307"",""state"":""CA"",""street"":""4766 E Whitmore Ave""}",(555) 797-8695,,,,/services/images/photo/0012100000lErCvAAK,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,,,Pending,,,,,,,,,,reemakarr
0012100000lErCNAA0,,,Darrel Mcwherter,Customer,,620 N Westmoreland Rd,DeSoto,TX,75115,USA,,,,"{""city"":""DeSoto"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""75115"",""state"":""TX"",""street"":""620 N Westmoreland Rd""}",620 N Westmoreland Rd,DeSoto,TX,75115,USA,,,,"{""city"":""DeSoto"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""75115"",""state"":""TX"",""street"":""620 N Westmoreland Rd""}",(555) 585-7868,,,,/services/images/photo/0012100000lErCNAA0,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,darrel.mcwherter
0012100000lErCOAA0,,,Shaniqua Abercrombie,Customer,,4301 West Boy Scout Blvd,Tampa,FL,33607,USA,,,,"{""city"":""Tampa"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33607"",""state"":""FL"",""street"":""4301 West Boy Scout Blvd""}",4301 West Boy Scout Blvd,Tampa,FL,33607,USA,,,,"{""city"":""Tampa"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""33607"",""state"":""FL"",""street"":""4301 West Boy Scout Blvd""}",(555) 238-8610,,,,/services/images/photo/0012100000lErCOAA0,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,shaniqua.abercrombie
0012100000lErCPAA0,,,Charmaine Silas,Customer,,22750 N May Ave,Edmond,OK,73025,USA,,,,"{""city"":""Edmond"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""73025"",""state"":""OK"",""street"":""22750 N May Ave""}",22750 N May Ave,Edmond,OK,73025,USA,,,,"{""city"":""Edmond"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""73025"",""state"":""OK"",""street"":""22750 N May Ave""}",(555) 237-3625,,,,/services/images/photo/0012100000lErCPAA0,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,charmaine.silas
0012100000lErCQAA0,,,Carmelita Ramshur,Customer,,8629 238th Road,Nortonville,KS,66060,USA,,,,"{""city"":""Nortonville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66060"",""state"":""KS"",""street"":""8629 238th Road""}",8629 238th Road,Nortonville,KS,66060,USA,,,,"{""city"":""Nortonville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66060"",""state"":""KS"",""street"":""8629 238th Road""}",(555) 761-2465,,,,/services/images/photo/0012100000lErCQAA0,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,carmelita.ramshur
0012100000lErCRAA0,,,Jammie Krell,Customer,,7139 Kilback Mountains,Antonito,CO,81120,USA,,,,"{""city"":""Antonito"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""81120"",""state"":""CO"",""street"":""7139 Kilback Mountains""}",7139 Kilback Mountains,Antonito,CO,81120,USA,,,,"{""city"":""Antonito"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""81120"",""state"":""CO"",""street"":""7139 Kilback Mountains""}",(555) 705-9281,,,,/services/images/photo/0012100000lErCRAA0,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,jammie.krell
0012100000lErCSAA0,,,Dylan Caminero,Customer,,7452 30th Avenue Northeast,Willow City,ND,58384,USA,,,,"{""city"":""Willow City"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""58384"",""state"":""ND"",""street"":""7452 30th Avenue Northeast""}",7452 30th Avenue Northeast,Willow City,ND,58384,USA,,,,"{""city"":""Willow City"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""58384"",""state"":""ND"",""street"":""7452 30th Avenue Northeast""}",(555) 902-3102,,,,/services/images/photo/0012100000lErCSAA0,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,dylan.caminero
0012100000lErCTAA0,,,Nadine Schwartzbach,Customer,,1442 2nd Street,Santa Monica,CA,90401,USA,,,,"{""city"":""Santa Monica"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""90401"",""state"":""CA"",""street"":""1442 2nd Street""}",1442 2nd Street,Santa Monica,CA,90401,USA,,,,"{""city"":""Santa Monica"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""90401"",""state"":""CA"",""street"":""1442 2nd Street""}",(555) 441-3164,,,,/services/images/photo/0012100000lErCTAA0,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,nadine.schwartzbach
0012100000lErCUAA0,,,Christeen Orloff,Customer,,84 Ocean Drive,Forest Home,AL,36030,USA,,,,"{""city"":""Forest Home"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36030"",""state"":""AL"",""street"":""84 Ocean Drive""}",84 Ocean Drive,Forest Home,AL,36030,USA,,,,"{""city"":""Forest Home"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""36030"",""state"":""AL"",""street"":""84 Ocean Drive""}",(555) 714-3240,,,,/services/images/photo/0012100000lErCUAA0,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,christeen.orloff
0012100000lErCVAA0,,,Winnie Epps,Customer,,23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",(555) 910-1234,,,,/services/images/photo/0012100000lErCVAA0,,,,,,,,,,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:41.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,2019-11-16T23:51:42.000+0000,2019-11-16T23:51:42.000+0000,,,Pending,,,,,,,,,,winnie.epps
