Id,IsDeleted,MasterRecordId,AccountId,LastName,FirstName,Salutation,Name,OtherStreet,OtherCity,OtherState,OtherPostalCode,OtherCountry,OtherLatitude,OtherLongitude,OtherGeocodeAccuracy,OtherAddress,MailingStreet,MailingCity,MailingState,MailingPostalCode,MailingCountry,MailingLatitude,MailingLongitude,MailingGeocodeAccuracy,MailingAddress,Phone,Fax,MobilePhone,HomePhone,OtherPhone,AssistantPhone,ReportsToId,Email,Title,Department,AssistantName,LeadSource,Birthdate,Description,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastCURequestDate,LastCUUpdateDate,LastViewedDate,LastReferencedDate,EmailBouncedReason,EmailBouncedDate,IsEmailBounced,PhotoUrl,Jigsaw,JigsawContactId,CleanStatus,IndividualId,Username__c
0032100000mcV9TAAU,,,0012100000lErC2AAK,Dunleavy,Curtis,,Curtis Dunleavy,22655 Fairfield Rd,St Augusta,MN,56301,USA,,,,"{""city"":""St Augusta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""56301"",""state"":""MN"",""street"":""22655 Fairfield Rd""}",22655 Fairfield Rd,St Augusta,MN,56301,USA,,,,"{""city"":""St Augusta"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""56301"",""state"":""MN"",""street"":""22655 Fairfield Rd""}",(555) 809-7571,,(555) 854-5459,(555) 767-9571,,,,curtis.dunleavy@example.com,,,,Phone Inquiry,1958-12-04,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9TAAU,,,Pending,,curtis.dunleavy
0032100000mcV9UAAU,,,0012100000lErC3AAK,Cairone,Omar,,Omar Cairone,1335 Madison St NE,Salem,OR,97301,USA,,,,"{""city"":""Salem"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97301"",""state"":""OR"",""street"":""1335 Madison St NE""}",1335 Madison St NE,Salem,OR,97301,USA,,,,"{""city"":""Salem"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97301"",""state"":""OR"",""street"":""1335 Madison St NE""}",(555) 473-4875,,(555) 932-1934,(555) 214-5054,,,,omar.cairone@example.com,,,,Phone Inquiry,1995-05-17,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9UAAU,,,Pending,,omar.cairone
0032100000mcV9VAAU,,,0012100000lErC4AAK,Fagnani,Leonore,,Leonore Fagnani,23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",23 Browns Lake Road,Helmville,MT,59843,USA,,,,"{""city"":""Helmville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""59843"",""state"":""MT"",""street"":""23 Browns Lake Road""}",(555) 793-3262,,(555) 280-6701,(555) 692-4241,,,,leonore.fagnani@example.com,,,,Phone Inquiry,1992-03-26,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9VAAU,,,Pending,,leonore.fagnani
0032100000mcV9WAAU,,,0012100000lErC5AAK,Soucier,Ngan,,Ngan Soucier,1012 Grand River Dr NE,Ada,MI,49301,USA,,,,"{""city"":""Ada"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""49301"",""state"":""MI"",""street"":""1012 Grand River Dr NE""}",1012 Grand River Dr NE,Ada,MI,49301,USA,,,,"{""city"":""Ada"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""49301"",""state"":""MI"",""street"":""1012 Grand River Dr NE""}",(555) 781-1362,,(555) 111-4594,(555) 392-8117,,,,ngan.soucier@example.com,,,,Partner Referral,1951-08-12,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9WAAU,,,Pending,,ngan.soucier
0032100000mcV9XAAU,,,0012100000lErC6AAK,Koogler,Merlene,,Merlene Koogler,658 Gibraltar Ct,Milpitas,CA,95035,USA,,,,"{""city"":""Milpitas"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95035"",""state"":""CA"",""street"":""658 Gibraltar Ct""}",658 Gibraltar Ct,Milpitas,CA,95035,USA,,,,"{""city"":""Milpitas"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""95035"",""state"":""CA"",""street"":""658 Gibraltar Ct""}",(555) 823-8402,,(555) 266-8211,(555) 977-1182,,,,merlene.koogler@example.com,,,,Partner Referral,1965-01-04,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9XAAU,,,Pending,,merlene.koogler
0032100000mcV9YAAU,,,0012100000lErC7AAK,Pacenta,Elba,,Elba Pacenta,30303 SE Lusted Rd,Gresham,OR,97080,USA,,,,"{""city"":""Gresham"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97080"",""state"":""OR"",""street"":""30303 SE Lusted Rd""}",30303 SE Lusted Rd,Gresham,OR,97080,USA,,,,"{""city"":""Gresham"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97080"",""state"":""OR"",""street"":""30303 SE Lusted Rd""}",(555) 207-2832,,(555) 407-9239,(555) 593-7493,,,,elba.pacenta@example.com,,,,Partner Referral,2006-04-06,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9YAAU,,,Pending,,elba.pacenta
0032100000mcV9ZAAU,,,0012100000lErC8AAK,Turman,Sook,,Sook Turman,3604 84th St E,Tacoma,WA,98446,USA,,,,"{""city"":""Tacoma"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98446"",""state"":""WA"",""street"":""3604 84th St E""}",3604 84th St E,Tacoma,WA,98446,USA,,,,"{""city"":""Tacoma"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""98446"",""state"":""WA"",""street"":""3604 84th St E""}",(555) 725-2452,,(555) 428-1525,(555) 319-1210,,,,sook.turman@example.com,,,,Partner Referral,1948-05-12,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9ZAAU,,,Pending,,sook.turman
0032100000mcV9bAAE,,,0012100000lErCAAA0,Newkirk,Fannie,,Fannie Newkirk,1335 Madison St NE,Salem,OR,97301,USA,,,,"{""city"":""Salem"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97301"",""state"":""OR"",""street"":""1335 Madison St NE""}",1335 Madison St NE,Salem,OR,97301,USA,,,,"{""city"":""Salem"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""97301"",""state"":""OR"",""street"":""1335 Madison St NE""}",(555) 623-7244,,(555) 491-9734,(555) 906-5484,,,,fannie.newkirk@example.com,,,,Other,2007-01-12,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9bAAE,,,Pending,,fannie.newkirk
0032100000mcV9cAAE,,,0012100000lErCBAA0,Lien,Dan,,Dan Lien,8629 238th Road,Nortonville,KS,66060,USA,,,,"{""city"":""Nortonville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66060"",""state"":""KS"",""street"":""8629 238th Road""}",8629 238th Road,Nortonville,KS,66060,USA,,,,"{""city"":""Nortonville"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""66060"",""state"":""KS"",""street"":""8629 238th Road""}",(555) 526-6269,,(555) 920-5440,(555) 474-2183,,,,dan.lien@example.com,,,,Partner Referral,1956-11-08,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:43.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9cAAE,,,Pending,,dan.lien
0032100000mcV9aAAE,,,0012100000lErC9AAK,Schmeisser,Dalia,,Dalia Schmeisser,112 N El Rancho Rd,Santa Fe,NM,87501,USA,,,,"{""city"":""Santa Fe"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87501"",""state"":""NM"",""street"":""112 N El Rancho Rd""}",112 N El Rancho Rd,Santa Fe,NM,87501,USA,,,,"{""city"":""Santa Fe"",""country"":""USA"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""87501"",""state"":""NM"",""street"":""112 N El Rancho Rd""}",(555) 717-6908,,(555) 196-4439,(555) 839-4278,,,,dalia.schmeisser@example.com,,,,Partner Referral,2001-02-27,,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,00521000003HEFmAAO,2019-11-16T23:51:42.000+0000,,,,2019-11-16T23:51:43.000+0000,2019-11-16T23:51:43.000+0000,,,,/services/images/photo/0032100000mcV9aAAE,,,Pending,,dalia.schmeisser
