Id,OwnerId,IsDeleted,Name,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Account__c,Application_ID__c,Cosigner_Employer__c,Cosigner_FirstName__c,Cosigner_LastName__c,Cosigner_SSN__c,Credit_Created_Date__c,Credit_Exemption__c,Credit_Limit__c,Credit_Modified_Date__c,Credit_Requested__c,Credit_Score__c,Customer__c,Downpayment__c,Employer__c,FirstName__c,FolderID__c,Interest__c,LastName__c,Model__c,Price__c,SSN__c,Status__c,Terms__c,Vehicle__c,Web_ID__c
a0321000003U8nbAAC,00521000003HEFmAAO,,I-00000,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,0012100000lErC4AAK,,,,,,,,,,,,0032100000mcV9VAAU,3000,E-Bikes,Leonore,,2,Fagnani,Flare,52000,283696737,Declined,60,a0421000003EqaMAAS,
a0321000003U8ncAAC,00521000003HEFmAAO,,I-00001,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,0012100000lErC5AAK,,,,,,,,,,,,0032100000mcV9WAAU,10000,Easy Spaces,Ngan,,7,Soucier,Flash,57075,013584703,Approved,72,a0421000003EqaNAAS,
a0321000003U8ndAAC,00521000003HEFmAAO,,I-00002,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,0012100000lErCDAA0,,,,,,,,,,,,0032100000mcV9eAAE,5000,Northern Trail Outfitters,Annie,,9,Kaemingk,Flint,39600,580759287,Approved,24,a0421000003EqaVAAS,
a0321000003U8neAAC,00521000003HEFmAAO,,I-00003,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,0012100000lErCOAA0,,,,,,,,,,,,0032100000mcV9pAAE,5000,Easy Spaces,Shaniqua,,3,Abercrombie,Flare,42275,669908868,Approved,24,a0421000003EqagAAC,
a0321000003U8nfAAC,00521000003HEFmAAO,,I-00004,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,0012100000lErCPAA0,,,,,,,,,,,,0032100000mcV9qAAE,15000,Pure Aloe,Charmaine,,4,Silas,Flare,44875,402973497,Approved,60,a0421000003EqahAAC,
a0321000003U8ngAAC,00521000003HEFmAAO,,I-00005,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,0012100000lErCQAA0,,,,,,,,,,,,0032100000mcV9rAAE,10000,Northern Trail Outfitters,Carmelita,,2,Ramshur,Flare,47800,189930520,Approved,36,a0421000003EqaiAAC,
a0321000003U8nhAAC,00521000003HEFmAAO,,I-00006,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,0012100000lErCRAA0,,,,,,,,,,,,0032100000mcV9sAAE,1000,DreamInvest,Jammie,,2,Krell,Flint,41675,465983086,Approved,48,a0421000003EqajAAC,
a0321000003U8niAAC,00521000003HEFmAAO,,I-00007,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,0012100000lErCVAA0,,,,,,,,,,,,0032100000mcV9wAAE,15000,Redwoods Insurance,Winnie,,7,Epps,Flare,40400,038481084,Approved,24,a0421000003EqanAAC,
a0321000003U8njAAC,00521000003HEFmAAO,,I-00008,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,0012100000lErCXAA0,,,,,,,,,,,,0032100000mcV9yAAE,10000,Easy Spaces,Nohemi,,3,Lesky,Flint,34500,551809395,Approved,24,a0421000003EqapAAC,
a0321000003U8nkAAC,00521000003HEFmAAO,,I-00009,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,0012100000lErCaAAK,,,,,,,,,,,,0032100000mcVA1AAM,5000,Northern Trail Outfitters,Brain,,8,Morelock,Flare,40000,774858514,Approved,84,a0421000003EqasAAC,
a0321000003U8nlAAC,00521000003HEFmAAO,,I-00010,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,0012100000lErCcAAK,,,,,,,,,,,,0032100000mcVA3AAM,15000,Easy Spaces,Cristal,,7,Pokallas,Flash,53300,856967223,Pending,72,a0421000003EqauAAC,
a0321000003U8nmAAC,00521000003HEFmAAO,,I-00011,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,00521000003HEFmAAO,2019-11-16T23:51:45.000+0000,,2019-11-16T23:51:45.000+0000,2019-11-16T23:51:45.000+0000,0012100000lErCeAAK,,,,,,,,,,,,0032100000mcVA5AAM,3000,Easy Spaces,Candida,,9,Caddick,Flare,57275,539114486,Approved,60,a0421000003EqawAAC,
